job,definition,what_1,what_2,what_3,where,who,fun_fact,keywords
선생님,학생들에게 공부를 가르쳐요,수업 준비,아이 가르치기,상담하기,"학교, 교실","학생들, 학부모",칭찬 스티커를 주기도 해요.,"배움, 지도, 학교"
경찰관,나쁜 일을 막고 사람들을 도와줘요,질서 지키기,범죄 예방,교통 안내,"경찰서, 거리","시민들, 아이들",호루라기와 수신호로 길을 안내해요.,"질서, 안전, 법"
소방관,불을 끄고 사람을 구해요,불 끄기,사람 구하기,안전 점검,"소방서, 화재 현장","위험에 처한 사람들, 지역사회",소방차는 멀리서도 보이게 빨간색인 곳이 많아요.,"안전, 구조, 팀워크"
의사,아픈 사람을 치료해요,진찰하기,약 처방하기,치료 계획 세우기,"병원, 진료실",환자와 가족,청진기로 심장 소리를 들어요.,"건강, 치료, 진료"
간호사,의사를 도와서 환자를 돌봐요,환자 돌보기,약 챙기기,기록하기,"병원, 병동",환자와 보호자,주사 전에는 이름을 꼭 확인해요.,"돌봄, 건강, 배려"
요리사,맛있는 음식을 만들어요,재료 손질,요리 만들기,맛과 위생 점검,"식당, 주방",손님들,요리사는 하얀 모자를 쓰기도 해요.,"요리, 맛, 위생"
버스기사,사람들을 버스로 데려다줘요,운전하기,안전 확인,승객 안내,"도로, 차량",승객들,정류장 시간표를 지켜요.,"운전, 안전, 시간"
택배기사,물건을 집까지 배달해줘요,물건 분류,배송하기,수령 확인,"물류센터, 동네",고객들,주소를 정확히 보는 것이 중요해요.,"배송, 시간, 책임"
환경미화원,길거리를 깨끗하게 해줘요,거리 청소,분리수거,시설 정리,"거리, 공원",주민과 방문객,깨끗한 길은 모두의 기분을 좋게 해요.,"청결, 환경, 배려"
미용사,머리를 예쁘게 잘라줘요,머리 자르기,염색하기,손질하기,"미용실, 바버숍",손님들,가위 소리가 경쾌해요.,"헤어, 스타일, 서비스"
배우,영화나 드라마에 나와요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
