job,category,question,short_answer,long_answer,keywords
선생님,what,선생님은(는) 무엇을 하나요?,학생들에게 공부를 가르쳐요,"선생님은(는) 수업 준비, 아이 가르치기, 상담하기 일을 해요. 학생들에게 공부를 가르쳐요","배움, 지도, 학교"
선생님,where,어디에서 일해요?,"학교, 교실","주로 학교, 교실에서 일해요.","배움, 지도, 학교"
선생님,help,누구에게 도움이 되나요?,"학생들, 학부모","선생님은(는) 학생들, 학부모에게 도움이 돼요.","배움, 지도, 학교"
선생님,how,어떻게 일을 해요?,"먼저 수업 준비, 다음 아이 가르치기, 마지막으로…","먼저 수업 준비을(를) 하고, 다음 아이 가르치기을(를) 한 뒤, 마지막으로 상담하기을(를) 하며 안전을 지켜요.","배움, 지도, 학교"
선생님,fun,재미있는 사실이 있나요?,칭찬 스티커를 주기도 해요.,칭찬 스티커를 주기도 해요. 재미있죠!,"배움, 지도, 학교"
경찰관,what,경찰관은(는) 무엇을 하나요?,나쁜 일을 막고 사람들을 도와줘요,"경찰관은(는) 질서 지키기, 범죄 예방, 교통 안내 일을 해요. 나쁜 일을 막고 사람들을 도와줘요","질서, 안전, 법"
경찰관,where,어디에서 일해요?,"경찰서, 거리","주로 경찰서, 거리에서 일해요.","질서, 안전, 법"
경찰관,help,누구에게 도움이 되나요?,"시민들, 아이들","경찰관은(는) 시민들, 아이들에게 도움이 돼요.","질서, 안전, 법"
경찰관,how,어떻게 일을 해요?,"먼저 질서 지키기, 다음 범죄 예방, 마지막으로…","먼저 질서 지키기을(를) 하고, 다음 범죄 예방을(를) 한 뒤, 마지막으로 교통 안내을(를) 하며 안전을 지켜요.","질서, 안전, 법"
경찰관,fun,재미있는 사실이 있나요?,호루라기와 수신호로 길을 안내해요.,호루라기와 수신호로 길을 안내해요. 재미있죠!,"질서, 안전, 법"
경찰관,safety,안전은 어떻게 지키나요?,안전 장비를 착용하고 규칙을 지켜요.,"헬멧·장갑 등 안전 장비를 착용하고, 팀과 신호를 맞추며 규칙을 지켜요.","질서, 안전, 법"
소방관,what,소방관은(는) 무엇을 하나요?,불을 끄고 사람을 구해요,"소방관은(는) 불 끄기, 사람 구하기, 안전 점검 일을 해요. 불을 끄고 사람을 구해요","안전, 구조, 팀워크"
소방관,where,어디에서 일해요?,"소방서, 화재 현장","주로 소방서, 화재 현장에서 일해요.","안전, 구조, 팀워크"
소방관,help,누구에게 도움이 되나요?,"위험에 처한 사람들, 지역사회","소방관은(는) 위험에 처한 사람들, 지역사회에게 도움이 돼요.","안전, 구조, 팀워크"
